,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4482085,DBA,北京,2018-05-03 09:02:34,21.0,147,拉勾网,北京拉勾网络技术有限公司,500-2000人,海淀区,本科,D轮及以上,"企业服务,招聘",116.307675,39.982191,全职,3-5年,"['五险一金', '弹性工作', '带薪年假', '免费两餐']"
1,4447710,DBA,北京,2018-04-19 10:57:37,4.8,61921,人人行(借贷宝),人人行科技有限公司,2000人以上,朝阳区,本科,C轮,"移动互联网,金融",116.416771,40.015961,实习,应届毕业生,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']"
2,3876854,DBA,杭州,2018-05-03 09:49:42,22.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,本科,B轮,"移动互联网,数据服务",120.11375,30.33331,全职,3-5年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
3,1411977,DBA,上海,2018-05-02 10:51:12,21.0,66311,方付通,上海方付通商务服务有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,金融",,,全职,3-5年,"['技能培训', '节日礼物', '岗位晋升', '五险一金']"
4,4222132,DBA - 中级（3-5年）,成都,2018-05-02 14:53:30,10.8,95229,四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,高新区,本科,上市公司,硬件,104.063426,30.541304,全职,3-5年,"['绩效奖金', '管理规范', '定期体检', '五险一金']"
5,3917459,DBA,上海,2018-05-02 13:37:43,16.0,48223,岱嘉医学,上海岱嘉医学信息系统有限公司,150-500人,长宁区,本科,未融资,医疗健康,121.35433,31.22026,全职,3-5年,"['节日礼物', '年底双薪', '带薪年假', '岗位晋升']"
6,4414514,DBA,深圳,2018-05-03 10:08:11,13.6,106150,南方银谷,南方银谷科技有限公司,150-500人,南山区,大专,D轮及以上,"移动互联网,数据服务",113.950586,22.554548,全职,1-3年,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']"
7,3768005,dba,武汉,2018-05-02 17:24:40,14.4,193755,理工数字,武汉理工数字传播工程有限公司,150-500人,洪山区,本科,C轮,"移动互联网,电子商务",114.347592,30.52172,全职,3-5年,"['一年16薪', '通讯津贴', '交通补助', '过节福利']"
8,4153336,DBA,杭州,2018-05-02 09:52:01,14.0,38306,阿拉丁信息科技,浙江阿拉丁电子商务股份有限公司,150-500人,滨江区,大专,上市公司,移动互联网,120.214164,30.213574,全职,1-3年,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']"
9,4444493,DBA,北京,2018-05-02 17:27:48,21.0,311084,REDEFINE,北京瑞地科技有限公司,150-500人,朝阳区,本科,不需要融资,移动互联网,0.0,0.0,全职,3-5年,"['五险一金', '股票期权', '扁平管理', '绩效奖金']"
10,3565211,DBA,广州,2018-05-02 09:51:12,14.0,30162,公瑾,北京公瑾科技有限公司广州分公司,500-2000人,天河区,本科,B轮,移动互联网,0.0,0.0,全职,3-5年,"['年底双薪', '带薪年假', '年度旅游', '五险一金']"
11,3081960,DBA,杭州,2018-05-02 10:35:46,13.6,20337,会搜股份,杭州会搜科技有限公司,150-500人,江干区,本科,上市公司,移动互联网,120.25935,30.30846,全职,3-5年,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
12,4359089,DBA,杭州,2018-05-02 09:26:30,14.0,33618,微贷网,微贷（杭州）金融信息服务有限公司,2000人以上,江干区,本科,C轮,金融,120.210795,30.241803,全职,1-3年,"['年底双薪', '专项奖金', '绩效奖金', '岗位晋升']"
13,4367417,DBA,杭州,2018-04-27 14:20:39,12.8,4840,光云科技,杭州光云科技股份有限公司,500-2000人,滨江区,本科,C轮,"电子商务,数据服务",0.0,0.0,全职,3-5年,"['绩效奖金', '五险一金', '交通补助', '节日礼物']"
14,4114097,DBA,北京,2018-05-03 09:39:59,18.4,48622,资产360,北京互连众信科技有限公司,150-500人,朝阳区,本科,B轮,"移动互联网,O2O",116.47,39.934299,全职,3-5年,"['带薪年假', '统一午餐', '五险一金', '弹性工作']"
15,2362060,DBA其它,成都,2018-05-02 19:30:03,8.8,95229,四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,高新区,本科,上市公司,硬件,104.06333013,30.54176969,全职,3-5年,"['绩效奖金', '管理规范', '定期体检', '五险一金']"
16,4382201,DBA,北京,2018-05-02 10:21:00,14.0,105376,本木医疗,北京怡合春天科技有限公司,50-150人,朝阳区,本科,不需要融资,"移动互联网,O2O",116.44784,39.920221,全职,3-5年,"['股票期权', '专项奖金', '绩效奖金', '午餐补助']"
17,3698979,DBA,厦门,2018-05-03 09:39:26,14.0,165492,10com,厦门视我科技有限公司,15-50人,思明区,本科,不需要融资,"移动互联网,电子商务",118.078948,24.46038,全职,3-5年,"['年底双薪', '专项奖金', '带薪年假', '午餐补助']"
18,4116028,高级DBA,杭州,2018-05-02 10:01:44,33.0,2380,浙江执御信息技术有限公司,浙江执御信息技术有限公司,2000人以上,拱墅区,不限,B轮,"移动互联网,数据服务",120.113688,30.332881,全职,5-10年,"['五险一金', '带薪年假', '节日礼物', '年度旅游']"
19,4358883,高级DBA,北京,2018-05-03 10:09:02,29.0,136978,玖富集团,玖富金科控股集团有限责任公司,2000人以上,朝阳区,本科,C轮,金融,116.4791,39.99522,全职,3-5年,"['绩效奖金', '免费班车', '五险一金', '部门旅游']"
20,4466301,DBA,杭州,2018-04-23 15:54:00,14.0,26248,丁香园,观澜网络（杭州）有限公司,500-2000人,滨江区,不限,D轮及以上,"医疗健康,企业服务",0.0,0.0,全职,不限,"['扁平管理', '弹性工作', '期权']"
21,4002228,DBA,天津,2018-04-19 16:14:58,10.8,31444,神州商龙,天津市神州商龙科技股份有限公司,150-500人,南开区,本科,上市公司,"移动互联网,O2O",117.121911,39.090899,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '采暖费']"
22,2583113,DBA,上海,2018-05-02 15:56:50,19.0,137839,万家医疗,平安万家医疗投资管理有限责任公司,500-2000人,徐汇区,本科,未融资,医疗健康,121.45898435,31.18087221,全职,3-5年,[]
23,4264273,DBA,北京,2018-05-02 17:21:42,28.0,111139,NIO蔚来,上海蔚来汽车有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,硬件",116.465947,40.021473,全职,3-5年,"['年底双薪', '带薪年假', '通讯津贴', '交通补助']"
24,3681780,DBA,杭州,2018-04-25 14:17:45,14.0,9327,铭师堂,杭州铭师堂教育科技发展有限公司,500-2000人,拱墅区,本科,不需要融资,"移动互联网,教育",120.141387,30.320581,全职,3-5年,"['自主盈利', '扁平管理', '技术大牛', '岗位晋升']"
25,4473245,DBA,深圳,2018-05-02 10:15:13,15.0,52004,透云科技,上海透云物联网科技有限公司,500-2000人,福田区,本科,上市公司,"移动互联网,数据服务",0.0,0.0,全职,3-5年,"['年底双薪', '股票期权', '带薪年假', '扁平管理']"
26,4020212,DBA专家,杭州,2018-05-03 09:49:31,28.0,8169,点我达,点我达网络科技有限公司,500-2000人,下城区,本科,D轮及以上,O2O,120.16579198,30.31569396,全职,5-10年,"['扁平管理', '弹性工作', '软妹子集中营', '股票期权']"
27,4260495,DBA,深圳,2018-05-02 15:37:36,16.0,16177,掌贝（云移科技）,广州云移信息科技有限公司,500-2000人,福田区,大专,B轮,"移动互联网,O2O",114.02831138,22.53280362,全职,3-5年,"['股票期权', '岗位晋升', '扁平管理', '领导好']"
28,2077179,DBA,北京,2018-05-02 09:54:03,29.0,4286,竞技世界,竞技世界（北京）网络技术有限公司,500-2000人,,本科,不需要融资,"移动互联网,游戏",116.31214448,40.03737722,全职,5-10年,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
29,3726200,DBA,深圳,2018-05-03 09:25:45,14.0,128998,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,福田区,本科,不需要融资,"移动互联网,金融",114.053855,22.535702,全职,3-5年,[]
30,4509963,DBA,上海,2018-05-03 08:58:30,19.0,327810,互易网（厂家到厂家）,北京互易天下网络科技有限公司,50-150人,浦东新区,本科,未融资,电子商务,121.53523,31.212734,全职,1-3年,"['""""']"
31,3222777,DBA,杭州,2018-05-03 08:41:54,19.0,135727,曹操专车,杭州优行科技有限公司,500-2000人,滨江区,本科,未融资,"移动互联网,O2O",120.21795,30.2081,全职,3-5年,"['优惠购车', '定期调薪', '广阔平台', '福利丰厚']"
32,3251708,DBA,上海,2018-05-02 14:56:39,19.0,51807,一米好地,上海米地信息科技有限公司,50-150人,黄浦区,本科,A轮,金融,121.486728,31.237177,全职,3-5年,"['有激情', '不明觉厉', '与大咖工作', '超前沿行业']"
33,4397849,DBA,成都,2018-04-27 16:48:04,19.0,72555,多点Dmall,多点生活（中国）网络科技有限公司,500-2000人,高新区,本科,A轮,"电子商务,O2O",104.067234,30.548863,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
34,1404830,数据库架构师/DBA,杭州,2018-05-03 09:53:21,18.0,9689,绿漫科技,绿漫科技有限公司,50-150人,西湖区,本科,不需要融资,移动互联网,120.124783,30.277036,全职,5-10年,"['期权激励', '绩效奖金', '团队活动', '年度旅游']"
35,4505146,DBA,北京,2018-05-02 11:37:23,16.8,273030,中金中富,中金中富（北京）文化传媒有限公司,150-500人,朝阳区,大专,A轮,移动互联网,116.463545,39.921316,全职,3-5年,[]
36,3327243,高级DBA,北京,2018-05-03 10:05:01,24.0,81144,7号电单车,北京百和光信息技术有限公司,150-500人,朝阳区,本科,C轮,"O2O,生活服务",116.387477,40.000236,全职,5-10年,"['年底双薪', '股票期权', '带薪年假', '年度旅游']"
37,3285371,DBA,重庆,2018-05-03 09:49:05,12.0,14567,重庆易宠科技有限公司,重庆易宠科技有限公司,150-500人,渝北区,本科,B轮,电子商务,106.490205,29.621586,全职,1-3年,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']"
38,3977854,DBA,佛山,2018-05-02 09:35:45,14.0,52480,百硕,百硕同兴科技（北京）有限公司,150-500人,南海区,本科,不需要融资,"企业服务,金融",113.143441,23.028956,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
39,3322914,DBA,杭州,2018-05-01 16:58:27,21.0,143873,云徙科技,广州云徙科技有限公司,150-500人,滨江区,本科,A轮,"数据服务,移动互联网",120.220961,30.207822,全职,1-3年,"['五险一金', '岗位晋升', '弹性工作', '扁平管理']"
40,3237183,DBA,杭州,2018-04-27 15:56:54,21.0,3864,51信用卡管家,杭州恩牛网络技术有限公司,500-2000人,西湖区,本科,C轮,"金融,数据服务",120.061872,30.289773,全职,3-5年,"['节日礼物', '专项奖金', '带薪年假', '扁平管理']"
41,2152926,DBA,北京,2018-05-03 09:38:32,26.6,1970,去哪儿网,北京趣拿软件科技有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.31545258,39.97860388,全职,3-5年,"['技能培训', '节日礼物', '带薪年假', '无息住房贷款']"
42,4308679,DBA,杭州,2018-05-02 11:26:25,21.0,170794,鸿略,浙江鸿略信息科技有限公司,50-150人,滨江区,大专,A轮,"金融,移动互联网",120.216039,30.220352,全职,5-10年,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']"
43,4348683,DBA,杭州,2018-05-03 10:09:03,19.0,139350,魔蝎科技,杭州魔蝎数据科技有限公司,50-150人,西湖区,本科,B轮,"数据服务,移动互联网",120.067616,30.285135,全职,1-3年,"['股票期权', '带薪年假', '岗位晋升', '阿里大牛']"
